jenis order,bobot,SERVICE_NUMBER,WONUM,TEKNISI,JENIS_ORDER,CREATED/REPORTED_DATE,CLOSED_DATE,WORKZONE,,,,,,,,,,,
PSB DATIN,6.4,unrequired,required,required,required,required,required,required,,,,,,,,,,,
PSB INDIBIZ,5.3,unrequired,required,required,required,required,required,required,,,,,,,,,,,
PSB OLO,6.4,unrequired,required,required,required,required,required,required,,,,,,,,,,,
PSB WIFI,5.3,unrequired,required,required,required,required,required,required,,,,,,,,,,,
PDA INDIBIZ,5.3,unrequired,required,required,required,required,required,required,,,,,,,,,,,
PDA DATIN ,6.4,unrequired,required,required,required,required,required,required,,,,,,,,,,,
PDA WIFI,5.3,unrequired,required,required,required,required,required,required,,,,,,,,,,,
Tiket FFG DATIN,,required,required,required,required,required,required,required,,,,,,,,,,,
Tiket FFG HSI,,required,required,required,required,required,required,required,,,,,,,,,,,
Tiket FFG WIFI,,required,required,required,required,required,required,required,,,,,,,,,,,
DISMANTLING EBIS,0.67,required,required,required,required,required,required,required,,,,,,,,,,,
DISMANTLING EBIS,0.67,required,required,required,required,required,required,required,,,,,,,,,,,
DISMANTLING EBIS,0.67,required,required,required,required,required,required,required,,,,,,,,,,,
DISMANTLING EBIS,0.67,required,required,required,required,required,required,required,,,,,,,,,,,
REPLACEMENT,1.33,required,required,required,required,required,required,required,,,,,,,,,,,
REPLACEMENT,0.67,required,required,required,required,required,required,required,,,,,,,,,,,
Instalasi IP Camera,1.6,unrequired,required,required,required,required,required,required,,,,,,,,,,,
Instalasi SD-WAN,4,unrequired,required,required,required,required,required,required,,,,,,,,,,,
Instalasi Router,2,unrequired,required,required,required,required,required,required,,,,,,,,,,,
Install AP WIFI (1 AP),1.6,unrequired,required,required,required,required,required,required,,,,,,,,,,,
Install AP WIFI (2 AP),1.78,unrequired,required,required,required,required,required,required,,,,,,,,,,,
Install AP WIFI(3 AP),2,unrequired,required,required,required,required,required,required,,,,,,,,,,,
Install AP WIFI (4 AP),2.29,unrequired,required,required,required,required,required,required,,,,,,,,,,,
